iter	Passed	Remaining
0	48	4838
1	50	2468
2	51	1673
3	53	1275
4	54	1038
5	56	878
6	57	764
7	59	678
8	60	611
9	61	557
10	63	512
11	64	475
12	66	443
13	67	415
14	69	391
15	70	370
16	72	351
17	73	334
18	74	319
19	76	305
20	78	293
21	79	282
22	80	271
23	82	261
24	83	251
25	85	243
26	86	234
27	88	226
28	89	219
29	90	212
30	92	205
31	93	198
32	95	192
33	96	187
34	97	181
35	99	176
36	100	171
37	102	166
38	103	161
39	104	157
40	106	152
41	107	148
42	108	143
43	109	139
44	111	136
45	112	132
46	114	128
47	115	125
48	116	121
49	117	117
50	119	114
51	120	111
52	121	108
53	123	104
54	124	101
55	125	98
56	127	95
57	128	93
58	129	90
59	131	87
60	132	84
61	133	81
62	134	79
63	136	76
64	137	74
65	138	71
66	140	69
67	141	66
68	142	64
69	144	61
70	145	59
71	146	57
72	148	54
73	149	52
74	151	50
75	152	48
76	153	45
77	155	43
78	156	41
79	157	39
80	159	37
81	160	35
82	161	33
83	163	31
84	164	29
85	165	26
86	166	24
87	168	22
88	169	20
89	170	18
90	171	17
91	173	15
92	174	13
93	175	11
94	176	9
95	178	7
96	179	5
97	180	3
98	182	1
99	183	0
